OBJECTID,type_,desc_type,nom_plant,culture,echelle,province,nom_acquer,etat_plant,sup_adm_ha,sup_sig_ha,created_user,created_date,last_edited_user,last_edited_date,globalid,proprietaire,note,Shape__Area,Shape__Length
71,5120000,Culture pérenne, ,N.I.,De 100 à 1000 hectares,, ,Abandonné,156,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,30503e63-17ee-4e43-b5d0-3a8a92c2f9b8, , ,1558978.03271484,5606.59436306537
72,5120000,Culture pérenne, ,Palmier à huile,De 100 à 1000 hectares,, ,Abandonné,202,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,a8734481-6932-4b74-bd24-2b19f91d3ef7, , ,2016254.48895264,5687.5287387531
73,5120000,Culture pérenne, , ,De 30 à 100 hectares,, ,Abandonné,64,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,f6ab8707-0462-433b-b6cf-a8253fed6edc, , ,635266.991821289,3924.73478179628
74,5120000,Culture pérenne, ,Hévéa,De 30 à 100 hectares,, ,Abandonné,81,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,8ad636a7-107c-48c7-a550-1fcc2fd14d69, , ,815112.584259033,3689.18717314945
75,5120000,Culture pérenne, ,Café,De 30 à 100 hectares,, ,En activité,65,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,77495f58-2d6f-4dc9-9cc4-ac074c2ba541, ,Limites d'origine non détectables sur imagerie,649276.001174927,3170.54826968953
76,5120000,Culture pérenne, ,N.I.,De 100 à 1000 hectares,, ,Abandonné,216,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,2d00e041-5cca-4b42-ba79-8283e24accb3, ,Limites d'origine non détectables sur imagerie,2158180.90445328,6841.17916364991
77,5120000,Culture pérenne, ,Café,De plus de 1000 hectares,, ,En activité,1736,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,4664e59d-6fa8-4e0d-80f1-c608deff2ae4, , ,17378548.7883301,24412.7154554807
78,5120000,Culture pérenne, ,Palmier à huile,De 30 à 100 hectares,, ,Abandonné,84,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,9a7dc41f-f90e-4e54-ad45-d2af8b40c85e, , ,838747.866790771,4185.70865798968
79,5120000,Culture pérenne, ,Palmier à huile,De 100 à 1000 hectares,, ,Abandonné,388,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,c903e289-72a0-4ea7-98c3-10b7277024a2, , ,3879817.32363892,12288.4747718192
80,5120000,Culture pérenne, , ,De 100 à 1000 hectares,, ,N.I.,663,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,9271a4b9-4467-4364-988b-c0c64ed77e7f, , ,6630868.79498291,16720.4913575046
