OBJECTID,type_,desc_type,num_ccf,num_ga,statu_ccf,ref_ccf,date_attr,date_echea,attributai,orig_capit,statu_pg,statu_amgt,date_amgt,statu_cert,type_cert,date_cert,dat_ech_ce,statu_leg,date_legal,dat_ech_le,sup_adm_ha,sup_ccf_ha,sup_exp_ha,sup_sig_ha,created_user,created_date,last_edited_user,last_edited_date,globalid,ancien_nom,num_ccc,Shape__Area,Shape__Length
95,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,GTC,,,,,,,,,,,,250680,,,114876,,,,,518a0af7-ccdf-4137-a8a0-63088f61b771,,044/2017,1157542473.50037,217617.697988863
97,4110112,Concession forestière de Conservation,,,,,,,GTC,,,,,,,,,,,,,,,295892,,,,,92e93130-7ef2-48a8-bb4e-df12acdc6bcd,,trouver contrat,2979611595.32205,399238.397893704
98,4110112,Concession forestière de Conservation,,,,,,,ICB,,,,,,,,,,,,,,,297955,,,,,46f94e22-d4d1-47dd-b269-3897a59be898,,trouver contrat,3000096566.70905,345777.148081684
99,4110112,Concession forestière de Conservation,,,,,,,GTC,,,,,,,,,,,,,,,313367,,,,,5917a347-b5b3-4b10-aeb5-2cd25937a141,,trouver contrat,3154833981.09958,319705.537554673
100,4110112,Concession forestière de Conservation,,,,,,,GTC,,,,,,,,,,,,,,,284430,,,,,19e2fb6f-d918-4549-8554-18380b810b19,,trouver contrat,2863942152.76704,297324.945483599
101,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,BIG TRUST,,,,,,,,,,,,281853,,,283857,,,,,e7dfcea4-07e6-4748-9453-4efc2606a3b0,,052/2017,2858245503.86198,483075.764869047
102,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,GTC,,,,,,,,,,,,250007,,,224425,,,,,3a83d5d2-9a20-41ea-82a3-cfd8a41891e9,,031/2017,2260886675.96948,246322.913638914
103,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,BRIC,,,,,,,,,,,,293229,,,301064,,,,,27ca8a33-ac89-40f5-a2eb-d6b62b9c4425,,026/2017,3032376878.18274,359882.097836347
104,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,GTC,,,,,,,,,,,,288099,,,290249,,,,,b2e108d2-d87a-4235-8403-9a7cbd11735a,,042/2017,2924230659.08643,359131.540547639
105,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,BIG TRUST,,,,,,,,,,,,299689,,,310089,,,,,57cd530e-9ad8-4b50-9575-c56f9ed886f0,,051/2017,3122551346.58941,363350.424295699
106,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,GTC,,,,,,,,,,,,,,,304026,,,,,ac784d87-302f-4072-8fda-992310c7ac5d,,034/2017,3062296912.53854,360871.608241899
107,4110112,Concession forestière de Conservation,,,,,,,GTC,,,,,,,,,,,,,,,259125,,,,,9709234f-f8bb-4b0e-90b0-26f12b891795,,trouver contrat,2610022879.13364,333536.427998513
108,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,GTC,,,,,,,,,,,,280039,,,286990,,,,,a73a2a3c-a25f-482d-b385-2ae809b6fcbb,,033/2017,2890316754.47089,358794.950193728
109,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,BIG TRUST,,,,,,,,,,,,290829,,,286327,,,,,2807c6c8-a99c-4620-8fb6-9e51b23e2234,,057/2017,2885198887.46927,290101.26457665
110,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,GTC,,,,,,,,,,,,296947,,,248386,,,,,efb6c791-1a17-41f9-8c1d-35a5f3737875,,038/2017,2502301978.89444,271327.580253459
111,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,GTC,,,,,,,,,,,,290788,,,291432,,,,,893efddb-1ec0-408b-a3b4-0dad3cfd9bae,,028/2017,2934695917.13736,317984.110449432
112,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,ICB,,,,,,,,,,,,296062,,,298186,,,,,b8b3b143-5ce5-4d01-8dc7-dcc1a4fe9c48,,064/2017,3003054882.90509,469300.743049404
113,4110112,Concession forestière de Conservation,,,,,24 Mars 2017,,BIG TRUST,,,,,,,,,,,,258790,,,260677,,,,,98f02a5e-b8ec-4644-bb4b-45ed25ea32bd,,053/2017,2624508180.88685,421063.77497141
114,4110112,Concession forestière de Conservation,,,,,24 mars 2017,,BIG TRUST,,,,,,,,,,,,299850,,,263519,,,,,fc949f3e-0aba-4321-bac5-c1ecc6f73df6,,048/2017,2653188443.30637,342042.982125297
